"CurrentName","DNVoucher","Provenance","RowNum","YearPlanted","TreeNum","RowTree","FieldID"
"Eucalyptus tindaliae","DN 6801","Lamington Plateau, Qld",163,2015,5,"R163/T05","CCA3298"
"Eucalyptus tindaliae","DN 6801","Lamington Plateau, Qld",163,2015,6,"R163/T06","CCA3299"
"Eucalyptus tindaliae","DN 6801","Lamington Plateau, Qld",163,2015,7,"R163/T07","CCA3300"
"Eucalyptus tindaliae","DN 6801","Lamington Plateau, Qld",163,2015,8,"R163/T08","CCA3301"
"Eucalyptus corticosa","DN 6781","Vaughan, Vic",163,2015,9,"R163/T09","CCA3302"
"Eucalyptus corticosa","DN 6781","Vaughan, Vic",163,2015,10,"R163/T10","CCA3303"
"Eucalyptus corticosa","DN 6781","Vaughan, Vic",163,2015,11,"R163/T11","CCA3304"
"Eucalyptus corticosa","DN 6781","Vaughan, Vic",163,2015,12,"R163/T12","CCA3305"
"Eucalyptus camaldulensis subsp. minima","DN 6136","Bascombe Well, SA",163,2015,13,"R163/T13","CCA3306"
"Eucalyptus camaldulensis subsp. minima","DN 6136","Bascombe Well, SA",163,2015,14,"R163/T14","CCA3307"
"Eucalyptus camaldulensis subsp. minima","DN 6136","Bascombe Well, SA",163,2015,15,"R163/T15","CCA3308"
"Eucalyptus camaldulensis subsp. minima","DN 6136","Bascombe Well, SA",163,2015,16,"R163/T16","CCA3309"
"Eucalyptus drepanophylla","DN 2514","Coen, Qld",165,1999,1,"R165/T01","CCA3310"
"Eucalyptus drepanophylla","DN 2514","Coen, Qld",165,1999,2,"R165/T02","CCA3311"
"Eucalyptus drepanophylla","DN 2514","Coen, Qld",165,1999,3,"R165/T03","CCA3312"
"Eucalyptus drepanophylla","DN 2514","Coen, Qld",165,1999,4,"R165/T04","CCA3313"
"Eucalyptus oligantha","DN 2468","Adelaide River, NT",165,1999,7,"R165/T07","CCA3314"
"Eucalyptus tardecidens","DN 2521","Maitland Downs, Qld",165,1999,8,"R165/T08","CCA3315"
"Eucalyptus tardecidens","DN 2521","Maitland Downs, Qld",165,1999,9,"R165/T09","CCA3316"
"Eucalyptus tardecidens","DN 2521","Maitland Downs, Qld",165,1999,10,"R165/T10","CCA3317"
"Eucalyptus tardecidens","DN 2521","Maitland Downs, Qld",165,1999,11,"R165/T11","CCA3318"
"Eucalyptus biterranea","DN 2518","Iron Range, Qld",165,1999,17,"R165/T17","CCA3319"
"Eucalyptus biterranea","DN 2518","Iron Range, Qld",165,1999,18,"R165/T18","CCA3320"
"Eucalyptus biterranea x E. ?brassiana","DN 2518","Iron Range, Qld",165,1999,16,"R165/T16","CCA3321"
